University (zh),University (eng),University Latitude,University Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
銘傳大學,Ming Chuan University,25.08719,121.52701,士林運動中心,25.089231150482206,121.52156498514196,Gym / Fitness Center
銘傳大學,Ming Chuan University,25.08719,121.52701,銘傳大學體育室,25.086145464073503,121.52862308648879,College Gym
實踐大學,Shih Chien University,25.083579999999998,121.54623000000001,緹力士 Action Life,25.083721401838485,121.55438902480992,Gym / Fitness Center
高雄醫學大學,Kaohsiung Medical University,22.64516,120.30993000000001,Fitness Factory 健身工廠,22.64045317717112,120.31486015652304,Gym
大同大學,Tatung University,25.06683,121.5222,Taipei DaTong Sports Center (臺北市大同運動中心),25.06550289051124,121.51623010009997,Gym / Fitness Center
大同大學,Tatung University,25.06683,121.5222,Landis 健身中心,25.062693048254687,121.52999470766459,Gym
臺北醫學大學,Taipei Medical University,25.02658,121.56266000000001,體育客體適能運動中心 First Fitness Gym,25.02098792337113,121.55645470667977,Gym / Fitness Center
臺北醫學大學,Taipei Medical University,25.02658,121.56266000000001,Taipei Xinyi Sports Center (臺北市信義運動中心 Taipei Xinyi Sports Center),25.031785,121.566734,Gym / Fitness Center
臺北醫學大學,Taipei Medical University,25.02658,121.56266000000001,World Gym Elite,25.03409525878187,121.56443358995396,Gym / Fitness Center
臺北醫學大學,Taipei Medical University,25.02658,121.56266000000001,綠洲健身中心 Fitness Centre,25.035489911000493,121.56223422116389,Gym / Fitness Center
臺北醫學大學,Taipei Medical University,25.02658,121.56266000000001,台北醫學大學體育館,25.025333,121.561229,College Gym
臺北醫學大學,Taipei Medical University,25.02658,121.56266000000001,Fitmania,25.032838,121.558054,Gym
健行學校財團法人健行科技大學,Chien Hsin University of Science and Technology,24.94758,121.22853,World Gym 世界健身俱樂部中壢店,24.955851839323103,121.22463697182978,Gym
建國科技大學,Chienkuo Technology University,24.066589999999998,120.54933,彰化縣立體育館,24.06747679075064,120.55400773683442,Gym
中國科技大學,China University of Technology,24.99926,121.55541000000001,臺北市文山運動中心 Taipei Wenshan Sports Center,24.996909073528354,121.55973663683771,Gym
台南家專學校財團法人台南應用科技大學,Tainan School of Home Economics Foundation at Tainan University of Technology,23.03932,120.23858999999999,Gym at Queena Plaza,23.04426911181496,120.24278469159805,Gym
東南科技大學,Tungnan University,25.00444,121.60473999999999,Gym Holiday Inn,25.004037606111652,121.59846861145066,Gym
德明財經科技大學,Takming University of Science and Technology,25.086489999999998,121.56562,Anytime Fitness,25.081939619385818,121.56856275300922,Gym / Fitness Center
德明財經科技大學,Takming University of Science and Technology,25.086489999999998,121.56562,World Gym 台北大直店 (世界健身俱樂部 台北大直館),25.084267981467413,121.55962142822587,Gym / Fitness Center
德明財經科技大學,Takming University of Science and Technology,25.086489999999998,121.56562,緹力士大直會館,25.082743097663126,121.55731330777385,Gym / Fitness Center
德明財經科技大學,Takming University of Science and Technology,25.086489999999998,121.56562,Taipei Marriott Hotel Fitness Center (台北萬豪酒店健身房),25.08064682929407,121.55890013666848,Gym / Fitness Center
中華學校財團法人中華科技大學,China University of Science and Technology,25.03359,121.60991999999999,中央研究院綜合體育館 Gym Academia Sinica,25.04090488968584,121.61335933387919,Gym / Fitness Center
長庚學校財團法人長庚科技大學,Chang Gung University of Science and Technology,25.03053,121.38956,國立體院體育館,25.03184839,121.38501505,College Gym
城市學校財團法人臺北城市科技大學,Taipei City University of Science and Technology,25.13133,121.46806000000001,ASUS n PEGATRON Staff Gymnasium,25.124892065729522,121.47110871122241,Gym
文藻學校財團法人文藻外語大學,Wenzao Ursuline University of Languages,22.670070000000003,120.31808999999998,育美體育館 Yumei Gym,22.669348825299508,120.31831081375324,College Stadium
