Serial Number,ID,Public/Private,System,Name,Eng. Name,Postal Code,Latitude,Longitude,Address,City,County,Neighborhood,County (zh)
72,1024,Private,技專校院,崑山科技大學,Kun Shan University,71070,22.99837,120.25289,"No. 195, Kun Da Rd., Yongkang District, Tainan City, 710, Taiwan",Tainan City,Tainan City,Yongkang District,臺南市
73,1025,Private,技專校院,嘉藥學校財團法人嘉南藥理大學,Chia Nan University of Pharmacy & Science,71710,22.92012,120.22578,"No. 60, Sec 1, Er Ren Rd., Rende District, Tainan City, 717, Taiwan",Tainan City,Tainan City,Rende District,臺南市
74,1026,Private,技專校院,樹德科技大學,Shu-Te University,82445,22.76463,120.37497,"No. 59, Heng Shan Rd., Yanchao District, Kaohsiung City, 824, Taiwan",Kaohsiung City,Kaohsiung City,Yanchao District,高雄市
75,1027,Private,一般大學,慈濟學校財團法人慈濟大學,Tzu Chi University,97004,23.99279,121.59136,"No. 701, Sec 3, Jung Yang Rd., Guo Fu Vil., Hualien City, Hualien County 970, Taiwan",Hualien City,Hualien County,Guo Fu Vil.,花蓮縣
76,1028,Private,一般大學,臺北醫學大學,Taipei Medical University,11031,25.02658,121.56266,"No. 250, Wu Xing St., Xinyi District, Taipei City, 110, Taiwan",Taipei City,Taipei City,Xinyi District,臺北市
77,1029,Private,一般大學,中山醫學大學,CHUNG SHAN MEDICAL UNIVERSITY,40201,24.12181,120.65121,"No. 110, Sec 1, Jian Guo N. Rd., South District, Taichung City, 402, Taiwan",Taichung City,Taichung City,South District,臺中市
78,1030,Private,技專校院,龍華科技大學,Lunghwa University of Science and Technology,33306,25.01879,121.40257,"No. 300, Sec 1, Wan Shou Rd., Guishan District, Taoyuan City, 333, Taiwan",Taoyuan City,Taoyuan City,Guishan District,桃園市
79,1031,Private,技專校院,輔英科技大學,Fooyin University,83102,22.60389,120.39126,"No. 151, Jin Syue Rd., Daliao District, Kaohsiung City, 831, Taiwan",Kaohsiung City,Kaohsiung City,Daliao District,高雄市
80,1032,Private,技專校院,明新學校財團法人明新科技大學,Minghsin University of Science and Technology,30401,24.86465,120.99107,"No. 1, Xin Xing Rd., Song Lin Vil., Xinfeng Township, Hsinchu County 304, Taiwan",Xinfeng Township,Hsinchu County,Song Lin Vil.,新竹縣
81,1033,Private,一般大學,長榮大學,Chang Jung Christian University,71101,22.907,120.27323,"No. 9, Zhang Da Rd., Gueiren District, Tainan City, 711, Taiwan",Tainan City,Tainan City,Gueiren District,臺南市
